영화명,평점,리뷰
범죄도시2,10,"연출, 연기, 스토리, 웃음포인트 정말 좋았습니다. 원만큼이나 투했다! 기대 많이 안하고봤는데 시간가는 줄 모르고 봤어요. 중간중간 액션 연출이나 스토리에서 오는 긴장감도 좋았고요. 마동석 애드립에 손석구 연기에, 박지환 까지 보는 내내 관객들 빵빵터졌습니다."
유체이탈자,2,
닥터 스트레인지: 대혼돈의 멀티버스,8,개인적으로 완다가 빌런이 된 이유가 나오는 완다비전을 시청하시지 않았다면 이해하기 어려운 부분도 있지만 그 부분을 재외하면 cg연출이 굉장했습니다
페이스 오프,10,이건 영화가 아님 예술임 ㅠㅠ
범죄도시2,10,역시.. 마동석이 마동석 했다 개잼씀
범죄도시2,10,"손석구 ,,미쳤다 연기"
극장판 주술회전 0,10,진짜 잘만들었음 극장판이라서 애들 미모가 상향된 부분은 말할 것도 없고 오스트며 연출이며 뭐 하나 빠짐없이 잘만듬 후나는 나나미가  파파박하면서 7:3 스킬쓰는 장면이 젤 소름끼침 연출 미쳤ㅠ
범죄도시2,10,기대없이 봤다 기분 좋게 나옴
닥터 스트레인지: 대혼돈의 멀티버스,8,보는 맛은 확실했습니다.
범죄도시2,10,2편보고 나가면서 빨리 3편 보고싶었음...
범죄도시2,10,솔직히 재밌음..근래 본 영화중 제일 재밌음..근데 우리나라 영상위 등급 너무 약한거같음 이게 15세면 너무하지않음..욕도엄청나오고 잔인한대
범죄도시2,8,재밌었어요! 살짝 잔인하긴 했지만 유머포인트도 중간중간있어 너무 무섭지만은 않아서 좋았어요
에이리언: 커버넌트,10,프로메테우스의 후속작으로 인류의 기원을 탐색해야지??? 재밌게봤으나 아쉬움..
범죄도시2,9,장첸포스를 이길순없엇지만 대체적으로 시간순삭영화 굿굿 넘재밋게봣써용
투건스,10,현대판 나쁜녀석들같은 느낌이다. 얽혀있는 게 많아서 계속 추측하게 해서 지루할틈없고 마크월버그 캐릭터도 귀엽고 데비라는 여자는 바비의 사랑을 원했지만 아무도 안믿고 본인살길만 챙기는 냉정한 성격의 바비에게 상처받고 뒤통수쳤지만 마지막엔 돈 보관장소를 퀸즈가 아닌 바비에게 알려줌(반지로). 이후에 바비는 스티그에게 맘을 열고 동료가 된다. 근데 총쏘는건 너무함. 장기안맞춰도 과다출혈로 사망할 수 있는데
말레피센트 2,10,"안젤리나 졸리 멋져,,,영화관에서 못봐서 슬프다ㅠㅠ영상미 아름답다"
범죄도시2,7,
범죄도시2,10,
범죄도시2,10,사람들이 많이 웃어서 이제 영화관 온거 실감남 ㅠㅠ
범죄도시2,10,잔인한데 재밌어요 정말 간만에 시간꽉채우고 재밋게봣어요
범죄도시2,10,마동석 애션 연출이 점점 좋아지는듯 아주 시원하고 통쾌한 액션 또봐도 질리지 않을듯
닥터 스트레인지: 대혼돈의 멀티버스,1,안그래도 히어로물인데 연출까지 유치하게 만들어서 영화에 집중할 수 없음. 중간중간 난잡하게 구닥다리 클리셰를 넣어놓은건 오글거려서 차마 봐주기 어려울 정도임. 멀티버스라는 개념을 끌고 와서 각종 캐릭터들을 소모품으로 쓰는 정도로만 활용한 점도 아쉬움. 완다비전과 스파이더맨:노웨이홈 그 중간의 애매한 영화임.
범죄도시2,10,1편보다 2편이 더 재밌었어요 코믹이더 많고 ㅋㅋㅋ믿고보는 마블리~ 역시 통했어요 ㅋㅋㅋ
사이버 지옥: N번방을 무너뜨려라,10,보면서도 너무 마음이 아픈데 피해자들의 고통은 감히 상상할 수도 없다… 항상 이런일이 생기면 주변에서는 피해자를 신경 쓰지 않고 말을 막 하는 사람들이 많은데 그들은 알아둬야한다 우리도 항삼 범죄에 노출되어 있다는걸…
범죄도시2,9,재밌는 유머! 시원한 액션! 이제는 믿고보는 영화가 된 범죄도시 범죄도시3 빨리보고싶어졌어요~~
범죄도시2,10,범죄도시 1편 영화관에서만 2번보러갔는데2편은 기대이상 장첸은 그래도 대화라도 하려하는데 강해상은 일단 폭군 그자체... 중간중간 웃긴요소들과 대박..헐 이러면서 본 장면들이 있는데 1편안보고 2편만본 여자친구도 재밌다고 1편 본사람으로써 2편도 진짜너무재밌음
범죄도시2,10,영화관또와서 보고싶은 영화는 이게 최초임 이쯤에서 기대되는 조합  장첸 vs 강해상
닥터 스트레인지: 대혼돈의 멀티버스,9,스토리 일부는 조금 설정 오류 및 갑작스러운 전개. 그럼에도 불구하고 너무 최고였음
범죄도시2,10,오랫만에 웃으면서 신나게 본영화에요
범죄도시2,9,1편보다 더 웃기게 돌아온 2편. 새로운 빌런인 손석구의 연기가 인상깊었다. 3편도 기대하게 만드는 한국의 시리즈물!
범죄도시2,10,진짜 잼있음. 마동석 슈퍼히어로물이 돼가네요.과장되긴 했지만 한방에 막 날아가니까 진짜 통쾌함
범죄도시2,10,마석도 형사님 잠시 이터널스로 해외 파견 다녀오시고 나서 능력치가 업그레이드 되신 것 같습니다. 범죄도시3에서는 단순히 칼 들고 설치는 애들 말고 배트맨의 조커 같이 머리 좀 쓸 줄 아는 빌런이 나오면 그래도 상관 없이 형사님께 얻어 터질 것 같습니다.
범죄도시2,10,간만에 볼만한영화 나왔네요
범죄도시2,10,그냥 정말 재미있습니다
쇼생크 탈출,10,내 인생 최고의 영화
더 배트맨,1,졸립니다 중간에 차량추격신은 하품만 나오더군요 중간좀 지나고 졸아서 어떻게 끝났는지는 모릅니다 근데 별로 알고싶지않습니다 그만큼 재미없어요
범죄도시2,1,범죄도시2 보고 10준사람들 1편을 본거 맞냐?알바들 괘씸해서1점준다이번엔 되도않는 개그코드를...1편의 흥행요인은 마동석이아니야장첸 과 똘마니들의 감정들과조연들 감정들이 정말 리얼해서 빠져든거지
범죄도시2,10,범죄도시1 스토리가 워낙 좋아서 다음 시리즈 스토리 쓰는게 힘들었을거 같은데 정말 다시 돌아온 범죄도시2 느낌을 확 주네요 역대급 재밌음 굿!
범죄도시2,10,믿고보는 동석이형 굿잼 ㅎㅎ
메탈 로드,9,메탈러을 위한 선물. 메탈 버전 스쿨 오브락
범죄도시2,10,마동석은 하나의 장르다.
범죄도시2,8,마동석 타격감 쩔고 장첸 짝퉁 너무 재밌어요~
범죄도시2,10,돌아온 범죄도시! 통쾌한 사이다로 끝나서 잘 봤어요
모비우스,7,너무 별로는 아니고 그렇다고 꽤 괜찮네도 아닌... 잘 찍었네 하다가 흐지부지 마무리 느낌... 2편을 위한건지...
범죄도시2,10,너무 재밌어요 ㄹㅇ 1보다 더 재밌어지고 잔인해진 것 같아요 손석구님한테 사랑에 빠졌습니다..연기를 진짜 와..ㅎㅎㅎ 마동석님도 진짜 넘 귀여우세요ㅎㅎ 최고!! 추천추천추천
범죄도시2,10,액션과 타격감이 장난 아니였습니다
아메리칸 셰프,9,
범죄도시2,10,"액션좋고, 웃음포인트들 좋습니다. 성인들은 좀 폭력적인거 못보시는 분들 제외하고는 다들 재밌게 보실 영화입니다만, 15세 이용가라고 하기에는 잔인합니다. 흉기를 사용하는 장면, 폭력성 등 19세 이상이 적절한 것 같요."
범죄도시2,10,블리 오빠 더 쎄짐 열받자마자 통쾌함
닥터 스트레인지: 대혼돈의 멀티버스,6,이터널스에서 부터 내내 말하지만 루소 감독이 시급하다. 스토리 전개 및 캐릭터 묘사에 구멍 투성이다.
범죄도시2,10,기대했는데 기대보다 더 재미있어요1편 보고와야 이해되는것도 많구 더 잼나요3편기대됩니당!
변호인,7,나름  재밋게 시작하여 감동선도 있지만 한가지 재판으로 너무  질질끌어 나간다런닝타임 15분 줄였으면 좋을뻔
범죄도시2,10,1이 너무 재밌었어서 걱정반 기대반으로 봤는데 진짜 너무 재밌었다 !
닥터 스트레인지: 대혼돈의 멀티버스,8,늘 사랑으로 키울게..
