,리뷰
765,일반선풍기에 비해서 바람은 확실히 센 편인 거 같은데 그래서 그런지 소리가 좀 큰 편인 것 같아요 써큘레이터 목적이 아니라 그냥 미풍으로 조용하게 선풍기처럼 틀어놓고 싶으신 분들에겐 비추 근데 바람은 확실히 세서 써큘레이터로는 좋은 거 같아요
766,시원하고 조아요 소리는 마니 크네요 여름 내내 끼고 살거 같아요
767,사용해보니 좋아서 하나더 구입합니다 조립하기도 쉬웠고 성능좋고 가격좋고 디자인 마음에듭니다
768,필요한 기능만 있어서 좋네요 다만 구리스 냄새는 많이 나니 충분히 환기 시켜야 겠네요
769,바람단계는 단계 시원해서 에어컨안틀어도버틸만해짐 심플하고 크기도딱좋음
770,쎄일하길래 바로 구입 상품평도 좋아서 써큘은 첫 사용인데 선풍기와비교하니 나쁘진않은듯
772,시원하고 이쁘지만 회전시 틱틱 소리 엄청 크게나고 회전 거의 안되네요 불량이겟죠 반품해주세요 냄새도 심하네요ㅜㅡ
773,선풍기 대신 사용하려고 주문했어요 바람은 쎈편이고 소음은 잘 모르겠어요 선풍기 바람 나올때 소음정도 소음이라고 보기 어려움 바람이 시원해서 강추요
774,좋아요 적극 추천합니다
775,좋아요   수고하세요
776,잘받았어요 감사합니다잘받았어요 감사합니다 이거 냄새 뭐에요ㅜ 고무타는냄새같은거 없어지나요ㅜ
777,코코 써큘 다 들어가고 급하게 상품평과 구매량이 많아서 구매했습니다 반품제품이 많은지 스크레치와 본체에 스티커 뗀 지저분한 자국사진으로는 안 찍혔어요들이 있었지만 그럼에도 상관없기에 조립시작했습니다 조립은 동영상 보고 여자 혼자서도 할 정도로 할 수 있게 잘 되어 있었습니다 시험가동 하니 작지만 바람도 쎄고 괜찮아서 사용하기로 했습니다 문제는 저녁 에어켠을 켜고 사용했는데 석유냄새 같은 냄새가 어디선가 나는데 그게 대우써큘 냄새였어요 이틀째 사용 중인데 냄새가 계속 나지만 빨리 없애려고 일단 머리가 아프지만 계속 가동 중 입니다 점점 없어지겠죠 제품은 가격대비 괜찮고 냄새는 다들 개인차가 있으나 냄새 예민하신 분들만 참고 하세요
778,타이머가 없다는게 많이 아쉽네요
779,가격대비 최고 내가사고 애래충에서 좋타고해 또삿네요 감사합니다 않이파셔요
780,마음에 쏙 들어요 완전 심플하면서 귀엽고 성능도 짱인듯합니다
781,저렴한 가격에 잘 샀어요
782,이쁘고 귀여운 써큘레이터입니다 성능도 좋아요 바람이 뜨거워지지 않음 벌써 개째 구입
783,저렴하게 샀습니다 잘쓰겠습니다
784,설치도 간단하고 가성비 엄청 좋습니다 에어컨 켜고 각방에 에어컨 바람 보냁때 좋습니다
785,배송이 엄청 빨라요 택배기사님 감사합니다
786,좋아요 좋아요 배송 빨라요
787,에어컨 만 틀때보다 에어써큐레이터 같이 쓰니까 훨씬 더 시원해요
789,잘샀어요 ㅎㅎ 잘샀어요
790,시원하고 좋아요 ㅋㅋ
791,하나사서 쓰다 좋아서 아들방에 놓아주려고 하나 더 샀어요 가성비 짱이네요 잘쓸께요
792,저렴하고 성능 좋아요 굿
793,타이머 없는거 말곤 바람 세고 아주 훌륭하네요
794,작은게 바람쎄기는 쎄서 션해여소음은 쫌 있어여
795,상품평이 좋아 구매했는데 성능이 좋습니다 선풍기보다 훨씬 바람이 쎄고 시원해요
796,조립간편 소리가 좀 큰편
797,조립후 달그락 소리가 짜증나게 나더군요 어디서 나는지 눈 씻고 찾아봐도 귀를 쫑긋하게 세워 봐도 이게 뭔 소리인지 한참 뒤에 앞 커버 한 귀퉁이에 절단 마무리가 안된 작은 조각 발견하여 떼어내니 소리 안나더군요 단인데도 바람 엄청 셉니다 하지만 소음은 커서 잠들기 힘들어요
798,잘 쓰고 있어요 시원하네요
799,잘쓰고있습니다 감사합니다
800,작고 귀엽지만 바람 셉니다 소리 커요
801,선풍기가 장난감 같아요 너무가볍고 작고 높이 올라가지도 않아요 소음도 조금 있어요 그냥 공간차지 하지 않아서 아이들 방에 사용하려구요
802,아주 좋아요
803,두번째 구매입니다 진짜 가성비 최고입니다 시댁에도 하나 보내드리려고 세번째 구매 들어갑니다
804,너무 쎄서 좋긴한데 밤에는 약풍으로 해놓고 자야 되는데 아이들 감기 걸릴까봐 걱정이네요
805,가성비 굿입니다 하나더 추가주문하려구요 에어컨이랑 같이 틀어놓으니 세상 시원하네요
806,처음부터 검수를 해서 불량 제품을 보내지 말아야죠 자다가 갑자기 선풍기 날개가 부러지고 선풍기가 날라다니고 사람안다치길 다행 웬만해서 날개부러지기쉽지않은데 반품이 안된다는게
807,타이머가 없어서 아쉽지만 가성비 좋아요
808,조아조아좋은상품좋은상품 배송 빠릉다 진짜 오늘 너무많이 좋은 상품
809,애들이 좋아합니다 저렴하게 잘 산거 같아요
810,작은것이 당찹니다 소음 적당하고 시원해요
811,배송 빠르네요  꼼꼼히 포장되어 상처없이 도착했어요 조립하기 쉬워요 화이트 색상에 작고 귀여워요  단에도 바람이 강합니다 부모님이 마음에 들어하세요
812,바람 시원하고 좋아요 타이머가 없어 좀아쉬네요
813,처음에 날개 조이는 나사가 풀리지않아 애먹었네요 우여곡절끝에 풀어서 조립하고 사용해보니 작지만 풍량은 좋습니다초미풍 기능이 있으면 더 좋았겄지만 이 가격에 나무 많은걸 바라는거겠져잘 쓰겠습니다
814,저렴한 가격 좋은 품질 감사합니다
815,배송 무지하게 빠르고 시간 타이머로 시간별 셋팅할꺼라 버튼식에 타이머기능 없는 간단한거 찾았는데 용도에 딱 맞고 저렴해서 좋습니다 단도 강합니다 필요없는 기능 빼고 저렴하게 잘 샀습니다
816,참 마음에 드는 군요
817,팬 소음 양호 하네요
818,저렴하고 성능좋아요 미세풍 없지만 저희집에서는 에어컨과 같이 사용하기 좋아요
819,크기도 적당하니 심플히게조으네요근데 소리는 생각보다도 더 커서 틀고 자기는 조금 그넌거 같아요ㅠ 가곀은조ㅡ긍 비싼듯ㅡ
820,싸게 잘 샀어요
821,가격대비 완전 좋아요 리뷰보고 샀는데 후회없어요 너무 잘샀네요
822,정말로시원합니다디게저렴하게구입
823,저렴하게 잘 샀습니다
824,잘받았어요 잘사용하겠읍니다
825,잘받았어요 잘받았어요 잘받았어요 잘받았어요 잘받았어요 잘받았어요 잘받았어요 잘받았어요
826,좋은상품 좋은가격에 구매합니다
827,써큘레이터 몇개 구입했는데 가격 좀 있는게 소음도 적고 성능이 확실히 월등한데 이건 가격이 저렴해서 크게 기대는 안했어요 바람세기비주얼은 맘에 듭니다 소음도 크게 거슬리지 않고요 타이머가 없는게 좀 아쉽지만 가격 싼 써큘레이트의 가장 큰 단점인 소음이 크지 않아서 마음에 듭니다
828,사이즈도 너무 작지 않고 가격대비 만족해요
829,소음은 있지만 좋아요 ㅎㅎ 좋아요
830,소음이 큰만큼 바람이 쌔요 에어컨틀었을때 공기 순환은 빠를 듯요 타이머 기능이 없었네요 확인을 안하고 산 제 잘못이죠
831,크기가 아담해서 방에 놓는데 부담이 전혀없고 바람도 세네요 배송은 빠르지 않지만 좋은 가격에 만족스러운 구매했어요
832,가격대비좋아요시원해요바람쎄요
833,서큘레이터라고 하기에는
834,타이머가 없어 아쉽지만 작아도 성능좋아요
835,조립이 어렵지는 않은데 맨마지막에 바람개비 뚜껑 고정시키는 나사가 헛돌고 고정되질 않아요 불량인건지 고객센터에 전화해봐야겠어요 불편해요 ㅠ
836,조립식인지 모르고 사서 처음엔 당황했지만 금방 조립할 수 있었어요 디자인도 깔끔해서 좋아요
837,제가 반품된 제품을 받은건지 모르겠어요 전자제품이 배송오는데 스티로품 또는 뽁뽁이 아예 없고 저렇게 비닐에 쌓여서 왔구요 밑에 부분엔 기름인지 뭔가 미끌거리는게 묻어있고 작동도 되고 저렴한 값에 샀으니 그냥 쓰는데 오래는 못쓸거 같은 불길함이 드네요
838,저렴히 잘 구매했고 배송도 빨리 받았어요 날이 슬슬 더워져 구매했는데 기능은 단순하나 저렴히 사용할수있어 좋네요 단계 바람 세기가 쌔내요 ㅎㅎ
839,시간 타이머가 없네요ㅠㅠ
840,사춘기 아들은 벌써 매일 덥다고합니다 그래서 저렴하게 잘 구입한거같아요
841,좋아요 소음은조금있지만 
843,가격대비 짱입니다 추천추천입니다
844,생갓보다작지만바람은세네요
845,바람 강력 소음 단계에선 심함 타이머없음 깔끔하고 헤드가 작아서 자리차지 들함
846,쿠폰 사용해서 저렴하게 구입했습니다
848,가성비 좋아요 잘 쓰고 있습니다
849,보기엔 일반 선풍기보다 작아보이는데 바람은 훨씬 쎄네요 단 틀고 가까이있음 눈이 아파요  써보고 좋아서 한대 더 구입했어요
850,날개가 그다지 크진 않지만 그래도 나름 시원해요
851,바람 세기가 일단 너무 생각 보다 셉니다 기대 이상이고요 리모컨 없는 것이 유일한 단점이네요 겨울에 따뜻한 바람 이동시킬 때도 쓰면 좋을 것 같아요
852,가격이 저렴해서 주문했는데 처음엔 좀 냄새가 심해서 힘들긴했지만 꽤 성능도좋고 맘에드네요 일주일정도는 냄새로 고생한거 빼고는 만족해요 가격대비 괜찮은 상품이에요 냄새만아니면 점 줬을거같아요
853,주문하고 하루만에 받았어요 냄새난다는평이많았는데확실히 그 고무타는냄새같은게 계속나긴하네요소리도 다른거에 비해 좀있는편같구그래도 바람은 강하고 일반선풍기보다 작아서 아담하니 이쁘네요 첨에 회전하는거 몰라서 한참해맸네요ㅎㅎ
854,지난번에 천 이번에만주고 구매소음 크지만 작고 바람이 쎄요
855,생각했던 것보다 냄새가 좀 난다는 점과 타이머 기능이 없는 건 쪼끔 아쉽지만 조립하기도 쉽고 하양 바탕에 검정 포인트의 깔끔한 디자인과 작으면서도 선풍기로서 가장 중요한 바람이 만족스러워요 가격도 괜찮구요 잘 샀다고 생각합니다 예쁜 선풍기를 판매해주셔서 감사합니다
856,설치 못하다 역시 조립해줄 이는따로 이제알았네여 이건 힘이아니라 머리를 써야한단것을 ㅎ
857,매우 만족스럽습니다
859,작지만 시원하고 좋아요
860,소음이 너무심하네요
861,작은게 정말 시원하네요
862,년 넘은 스탠드형 선풍기가 오늘내일 하던차에 마침 쿠폰행사해서 진짜 저렴하게 샀네요 조립도 어렵지 않았고 조그만게 기능은 딱 필요한 것만 있고 조작법도 쉽고 바람이 진짜 시원해요 서큘이라 멀리 나가고 에어컨이랑 같이 켜면 시너지효과 굿
863,너무좋네요 싸서 반신반의하면서 주문했는데 가성비최고에요 비싼거보다 좋아요 가벼워서 움직이기도좋아요
864,상품평 보고 주문했어요 저렴해서 좋긴 한데 바람이 제가 생각한 것 만큼은 아니에요 기대가 너무 컸나봐요 바람이 넓게 펴지지는 않아요 거실보다는 작은방에 어울릴듯
865,시원해요 가성비 최고네요
866,드라이버 없어서 못만들었긴 하지만 제품은 맘에 듭니다
867,잘쓰고있어요좋아용좋아
868,가격대가 저렴하고 괜찮아요 근데 소음은 좀 있어요
869,작고 소음은잇지만 바람은쎄네요타이머가 없는걸 몰랏네여ㅠ
872,마음에 들어요 잘받았습니다 감사합니다
873,써큘레이터 답게 바람이 강하게 시원하게 잘나옵니다 디자인도 깔끔하고 선풍기에 비해서 날개크기가 작아서 공간차지도 안해서 좋네요 단만해도 웬만한 선풍기 단 수준이라 약한바람기능이 필요한 분들은 한번더 고려해보셔야 할것같아요
874,소음은 좀 있지만 선풍기랑 다르게 바람 자체가 시원한 느낌입니다 단 시간예약이 안 되는 게 흠이에요ㅠㅠ 다른 서큘레이터도 그런진 모르겠는데 시간예약이 안 돼요ㅠㅠ
875,타이머없지만 조립간단 총알배송 션한바람
876,배송 빠르고 디자인 심플하고 다른 기업 제품은 잘 몰라서 대우보고 싸지만 구입했어요 타이머도 없고 회전이 좀 아쉽지만 거실에 놓고 에어컨하고 함께 사용할려고 합니다 작지만 바람 세기는 좋아요
877,소음 심하다는 리뷰가 종종 있길래 조금 걱정했는데 저는 전혀 모르겠어요 정말 저렴하게 잘 산 듯
878,일반 선풍기와 다른점이 뭔지 모르겠지만 바람도쎄고 컴펙트한 디자인이 좋아요 가격대비 아주 훌륭합니다
879,사이즈는 작은 편이고 성능은 괜찮습니다 그런데 단으로 하면 소리가 조금 큰거 같습니다
880,저렴하게 잘샀어요소음 살짝있어도 힘있고 시원하네요 다른거 하나더샀어요ㅎ
881,작지만 시원해요 하지만 소음이 ㅡㅡ
882,새 제품 받았는데 기분이 나쁘긴 하네요  사이즈가 생각보다 아담한데 바람은 셉니다
883,빠르고 아주 시원해요
884,감사합니다 마니파세요 
885,시원해요 다만 타이머가 없을뿐
